IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
2603,0.58803,0.0,0.8934,0.7582,0.2007,3.5368,0.90978,1.0,0,0.0,904800000.0,99.0,0.0,0.683561,8.0,0.0,0.710504,,1000000000.0,82980700.0,8,16380,,,,28.586,27.611,26.719,26.973,39.008,26.291,26.024,26.743,,,,,,28.36,28.285,28.293,27.781,26.854,26.667,26.61,26.623,26.585,26.586,26.657,27.038,27.405,27.917,29.87,8.95513,7.41987,-2.16049,,,,AS1063clu,342.2082325,-44.542455
2606,1.0914,0.0,2.9529,1.8297,0.3696,3.9557,0.299825,33.0,0,0.0,,99.0,1.81,0.29725,33.0,0.0,0.861892,,1000000000.0,3.65502,8,16380,,,,28.069,28.623,28.661,28.954,28.206,28.464,28.694,28.743,28.127,,23.246,24.435,,28.864,28.163,28.214,28.41,28.675,28.657,28.57,28.593,28.693,28.896,29.0,29.052,29.335,29.805,28.935,8.85128,7.43158,-2.0436,,,,AS1063clu,342.1668682,-44.5425865
2607,1.3025,0.0,3.0988,2.3181,0.5567,6.2368,1.32642,1.0,0,0.0,508800000.0,99.0,0.0,0.857864,4.0,0.0,0.651204,,1000000000.0,75692200.0,7,16376,,,,,29.472,29.304,28.729,29.004,28.82,28.64,,,,,,,33.194,29.947,29.444,29.392,29.467,29.438,29.039,28.769,28.636,28.589,28.611,28.671,28.666,29.073,30.999,8.93169,7.56291,-2.1617,,,,AS1063clu,342.192448,-44.5422762
2608,1.4015,0.445,2.0238,1.9319,0.4397,6.5608,5.25762,33.0,3,0.15,,99.0,0.0,4.83301,4.0,0.0,0.0892329,,1000000000.0,9.13074,7,16376,,,,,29.283,29.171,28.656,27.994,28.496,28.228,,24.711,,,,,30.64,29.203,28.875,28.927,28.881,28.676,28.517,28.374,28.305,28.428,28.312,28.288,28.475,28.961,28.033,8.90438,7.55333,-2.07476,,,,AS1063clu,342.2059189,-44.5425955
2609,1.1952,0.4266,1.5795,1.7396,0.4142,6.1185,2.642,1.0,0,0.0,508800000.0,99.0,1.52,1.73616,33.0,0.15,0.419757,,1000000000.0,79513800.0,7,16376,,,,,29.076,28.578,28.382,28.559,28.145,27.966,,,,23.447,23.267,,29.422,28.912,28.777,28.822,28.849,28.366,28.033,28.024,28.042,28.025,28.057,28.035,28.249,28.784,30.731,8.91844,7.59317,-2.03798,,,,AS1063clu,342.2014274,-44.5430502
2610,0.0,0.0,2.6178,4.7702,1.0162,6.9735,0.746689,33.0,1,0.25,,99.0,0.63,0.337908,1.0,0.0,0.844548,,1000000000.0,143.715,8,16380,,,,32.018,31.011,29.06,28.554,28.241,28.446,28.116,28.588,,,,,,,,,30.851,28.614,28.406,28.317,28.274,28.245,27.921,27.297,27.319,27.147,27.05,28.07,9.06147,8.08012,-2.13893,,,,AS1063clu,342.1897862,-44.5426262
2612,0.0,0.0,0.2331,1.6717,0.3817,6.1024,2.85298,1.0,0,0.0,508800000.0,99.0,1.41,2.07247,33.0,0.15,0.354787,,1000000000.0,82440000.0,7,16376,,,,,29.023,28.166,28.264,27.903,27.728,27.907,,,,25.323,,,29.135,28.722,28.657,28.708,28.721,28.151,27.873,27.872,27.919,27.904,27.94,27.92,28.167,28.7,30.654,8.90601,7.55822,-2.03381,,,,AS1063clu,342.2054212,-44.5426534
2613,1.4426,0.0,2.9984,2.9006,0.8261,6.8299,1.90651,33.0,3,0.3,,99.0,0.0,1.34041,18.0,0.3,0.511603,,1000000000.0,28.9757,7,16376,,,,,30.589,30.058,29.307,29.177,29.305,28.756,,,,,,,,35.259,30.934,29.933,29.894,29.536,29.401,29.093,28.822,28.62,28.18,28.054,27.954,28.105,28.374,8.98389,7.68733,-2.20124,,,,AS1063clu,342.1808395,-44.5426353
2614,1.4806,1.0003,2.9116,1.5728,0.3664,2.7647,0.569109,33.0,3,0.1,,99.0,1.18,0.408049,33.0,0.1,0.815442,,1000000000.0,9.45535,8,16380,,,,27.846,28.227,28.106,28.187,28.072,27.893,27.492,27.776,,,,23.437,,28.281,27.896,27.915,28.048,28.105,27.803,27.679,27.716,27.597,27.823,27.799,27.863,28.22,28.426,28.142,8.82326,7.81821,-1.42555,,,,AS1063clu,342.1887887,-44.5426606
2618,4.5189,1.5727,5.6686,3.1279,0.6791,6.1618,1.26669,33.0,1,0.2,,99.0,0.39,0.764773,1.0,0.0,0.682231,,1000000000.0,28.8729,8,16380,,,,30.796,29.136,28.333,28.2,27.986,28.068,28.718,29.438,26.705,,22.555,26.177,,,,30.114,29.132,28.933,28.89,28.878,28.804,28.645,28.292,28.14,28.05,28.008,28.123,28.729,8.93471,7.74573,-1.98633,,,,AS1063clu,342.1655543,-44.5427305
