catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
469,1602,342.1858173,-44.5388517,0.4326,abells1063,0.348,1.16,1.31,21,1.16,1.33,1.31,1.31,1.31,1.31,1.31,1.35,1.33,1.34,1.31,1.34,1.32,1.31,1.24,1.32,1.32,1.25,1.22,1.32,1.29,[MSG2014] 21a,342.1858333333333,-44.53886111111111,LeG,3.606,C,2018ApJ...855....4K,0.05329602906268399,SIMBAD
475,1617,342.1791631,-44.5386872,1.5617,abells1063,0.348,7.52,15.93,21,7.52,26.35,15.93,15.93,16.11,14.99,14.99,13.82,17.5,18.62,5.58,37.51,20.75,23.9,13.71,16.92,16.92,9.94,9.41,20.66,10.61,[KCG2015] 52a,342.1791,-44.53863333333333,LeG,4.113,C,2018ApJ...855....4K,0.25262872467971814,SIMBAD
477,1621,342.1820013,-44.5385694,0.366,abells1063,0.348,1.05,1.08,21,1.05,1.08,1.13,1.13,1.13,1.08,1.08,1.09,1.18,1.2,1.08,1.09,1.08,1.08,1.07,1.08,1.08,1.08,1.06,1.09,1.33,[KCG2015] 62,342.18197083333337,-44.538580555555555,G,0.3502,D,2017A&A...599A..28K,0.08788943306055562,SIMBAD
479,1631,342.2071145,-44.5393877,1.4746,abells1063,0.348,1.56,1.5,20,,1.56,1.5,1.5,1.49,1.2,1.2,1.24,1.71,1.72,1.63,1.66,1.71,1.64,1.42,1.11,1.11,1.1,1.22,1.61,1.55,NAME CMC2020 GLASS 01404-99-99,342.2071,-44.5394,LeG,1.4475,C,2020MNRAS.492..821C,0.05783634406752801,SIMBAD
482,1646,342.1716009,-44.539512,0.3723,abells1063,0.348,1.11,1.12,21,1.11,1.12,1.14,1.14,1.14,1.1,1.1,1.1,1.29,1.28,1.09,1.12,1.11,1.47,1.22,1.13,1.13,1.1,1.07,1.07,1.53,[KCG2015] 7,342.1715791666667,-44.53948333333333,G,0.337,D,2015A&A...574A..11K,0.11730382293809308,SIMBAD
483,1647,342.1717621,-44.5405505,0.4305,abells1063,0.348,1.32,1.57,21,1.32,5.22,2.14,2.14,2.1,1.4,1.4,1.39,1.3,7.27,1.24,6.4,3.98,1.39,1.95,1.46,1.46,1.35,1.57,1.61,13.87,[KCG2015] 21,342.171727,-44.54053,GiC,0.348,D,2015A&A...574A..11K,0.11643839086889422,SIMBAD
484,1648,342.1724122,-44.5412094,1.0542,abells1063,0.348,4.04,4.04,21,4.04,5.17,4.03,4.03,4.08,3.55,3.55,3.37,4.23,2.02,2.68,5.37,4.35,4.5,60.53,6.34,6.34,3.86,2.44,2.53,6.66,[BHF2019] RXCJ2248    781,342.17252916666666,-44.54128055555555,LeI,1.27,D,2013A&A...559L...9B,0.39457792410477555,SIMBAD
488,1655,342.1815018,-44.539348,5.0601,abells1063,0.348,7.22,33.28,21,7.22,31.7,26.35,26.35,25.23,49.42,49.42,36.02,35.51,34.6,10.53,51.47,33.28,25.16,26.27,33.55,33.55,171.26,6.24,60.65,12.7,[KCG2015] 52b,342.1816375,-44.539363888888886,LeG,4.113,C,2018ApJ...855....4K,0.35286874986805256,SIMBAD
489,1656,342.1819462,-44.5393835,5.2257,abells1063,0.348,5.35,25.34,21,5.35,23.65,23.81,23.81,22.57,33.47,33.47,30.31,28.89,27.79,10.65,36.47,26.96,19.99,30.32,25.34,25.34,107.04,5.66,115.77,13.32,[KCG2015] 52b,342.1816375,-44.539363888888886,LeG,4.113,C,2018ApJ...855....4K,0.795254033117686,SIMBAD
490,1657,342.184391,-44.5395794,0.6249,abells1063,0.348,1.54,1.95,21,1.54,2.03,1.92,1.92,1.92,1.94,1.94,2.03,2.03,2.04,1.95,2.1,2.0,1.95,1.94,1.95,1.95,1.81,1.59,1.96,1.83,[KCG2015] 40,342.18441666666666,-44.53957222222222,G,0.652,D,2015A&A...574A..11K,0.0707473772242386,SIMBAD
497,1669,342.1884306,-44.5400177,1.5223,abells1063,0.348,1.98,3.36,21,1.98,4.89,3.36,3.36,3.31,6.18,6.18,9.74,3.67,3.54,3.25,3.68,3.41,3.21,2.4,2.16,2.16,2.12,2.31,2.74,4.35,[BHF2019] RXCJ2248    931,342.18844,-44.539998,LeG,1.428,C,2018ApJ...855....4K,0.0749093616885269,SIMBAD
499,1671,342.1889329,-44.5403873,0.4065,abells1063,0.348,1.1,1.84,21,1.1,2.67,1.86,1.86,1.82,1.36,1.36,1.4,1.97,2.07,1.11,54.01,3.48,22.99,1.14,1.08,1.08,1.1,1.84,1.9,4.09,[GVR2012] 575,342.1887291666667,-44.54028888888889,G,0.3477,D,2012AJ....144...79G,0.6315036726074484,SIMBAD
507,1696,342.1820382,-44.5403625,0.6542,abells1063,0.348,1.63,2.52,21,1.63,2.15,11.87,11.87,10.08,2.46,2.46,2.52,8.77,61.21,2.35,13.85,7.55,13.74,2.55,2.2,2.2,2.08,1.98,2.52,15.6,[KCG2015] 12,342.18205,-44.54034,G,0.3435,D,2017A&A...599A..28K,0.08647399247309874,SIMBAD
510,1700,342.1668125,-44.5401978,0.3796,abells1063,0.348,1.13,1.13,21,1.13,1.12,1.48,1.48,1.47,1.11,1.11,1.1,1.48,1.35,1.08,1.13,1.12,1.12,1.18,1.19,1.19,1.16,1.04,1.06,1.14,[KCG2015] 37,342.16658333333334,-44.54020833333333,G,0.459,D,2015A&A...574A..11K,0.5892471360397384,SIMBAD
