IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
1438,0.11314,0.0687,0.1776,0.1185,0.0598,0.1857,8.59529,1.0,0,0.0,4500000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,49825100.0,10,16380,,,,26.823,25.276,24.696,24.523,24.411,24.349,24.283,24.074,25.117,26.432,23.5,25.566,,29.801,28.001,26.541,25.325,24.78,24.452,24.375,24.344,24.302,24.281,25.049,25.436,25.941,26.457,28.682,9.5033,7.21348,-5.66194,,,,AS1063clu,342.163186,-44.5359857,,,,,,,,,,False
1439,0.30013,0.1568,0.3314,0.2328,0.0745,0.3107,9.21794,1.0,0,0.0,904800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,38394300.0,9,16316,,,,26.192,24.912,24.608,24.556,,24.368,24.281,24.577,25.706,26.396,23.728,,,26.438,26.392,25.867,24.995,24.792,24.748,24.713,24.729,24.74,24.674,25.369,25.707,26.153,26.71,28.868,8.94813,7.33662,-2.16182,,,,AS1063clu,342.1560877,-44.5253538,,,,,,,,,,False
1440,0.0,0.0,0.0891,0.0759,0.0241,0.157,19.8779,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00648877,10,16380,,,,29.688,27.33,26.558,26.182,26.048,25.959,25.9,25.917,28.506,,25.429,23.846,,32.026,30.11,28.602,27.253,26.631,26.185,26.054,26.016,25.961,26.018,26.806,27.201,27.698,28.183,31.553,9.54519,6.34245,-7.13171,,,,AS1063clu,342.1621735,-44.5358754,,,,,,,,,,False
1443,2.665,2.4904,2.7635,2.4947,1.5275,2.7868,5.72251,33.0,1,0.1,,99.0,1.78,6.19359,33.0,0.15,0.0451939,,1000000000.0,103.449,10,16380,,,,26.428,26.206,26.279,26.287,26.088,26.059,26.125,26.099,25.411,26.333,24.967,22.875,,38.771,27.353,26.333,26.212,26.272,26.384,26.32,26.184,26.1,25.989,26.074,26.094,26.116,26.528,26.246,8.78201,5.94784,-3.22759,,,,AS1063clu,342.1612945,-44.5358771,,,,,,,,,,False
1444,6.6431,6.2242,6.8489,6.3751,5.8523,6.8187,51.5398,25.0,0,0.0,,99.0,6.25,51.525,25.0,0.0,6.47862e-12,,1000000000.0,8088.81,10,16380,,,,25.718,25.19,23.966,23.037,22.723,22.661,23.25,24.651,21.828,22.365,23.757,,,,,,32.429,25.215,23.219,23.244,23.232,23.236,23.201,21.963,21.747,21.659,21.519,22.298,8.86604,11.12491,1.81337,,,,AS1063clu,342.1834214,-44.534666,,,,,,,,,,False
1445,1.871,1.367,2.0033,1.5557,1.1547,1.9348,7.6157,33.0,2,0.25,,99.0,1.57,7.3127,33.0,0.25,0.0258265,,1000000000.0,95.14,10,16380,,,,26.857,26.742,26.579,25.696,25.691,25.611,25.661,26.125,25.188,24.735,,,,27.791,27.071,26.854,26.78,26.574,26.105,25.885,25.851,25.612,25.665,25.446,25.454,25.763,25.913,25.639,8.80986,8.56608,-0.61611,,,,AS1063clu,342.1794555,-44.5359876,,,,,,,,,,False
1446,8.0,7.8234,8.0,7.8124,7.5058,7.9506,981.804,18.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,216.861,9,16316,,,,26.134,24.904,24.073,24.682,,23.514,23.436,24.554,,27.419,,,,,,,,49.137,37.16,35.249,34.229,33.556,31.756,28.57,27.381,26.727,25.91,25.376,8.81846,9.22057,0.03231,,,,AS1063clu,342.1886031,-44.5073879,,,,,,,,,,False
1447,0.0,0.0,0.0693,0.0485,0.0155,0.0989,14.2202,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0126997,10,16380,,,,26.863,25.422,24.811,24.469,24.272,24.151,24.077,23.988,25.452,25.625,,,,30.027,28.18,26.636,25.418,24.815,24.387,24.278,24.236,24.173,24.279,25.074,25.505,25.972,26.465,31.222,9.56703,6.63713,-7.10559,,,,AS1063clu,342.2035927,-44.5360202,,,,,,,,,,False
1448,1.5267,0.6128,3.0001,2.4511,0.7904,6.436,2.51498,2.0,0,0.0,640500000.0,99.0,5.65,1.80334,30.0,0.0,0.405891,,1000000000.0,300942000.0,10,16380,,,,29.363,28.684,28.432,27.644,27.163,27.623,27.376,28.473,26.729,27.29,,,,32.899,29.575,28.748,28.593,28.578,28.517,28.198,27.843,27.597,27.474,27.347,27.346,27.281,27.615,29.449,8.91548,8.14778,-1.51259,,,,AS1063clu,342.1915359,-44.5256558,,,,,,,,,,False
1450,0.0,0.0,0.574,1.1034,0.0866,7.1635,30.572,33.0,0,0.0,,99.0,1.41,29.6755,33.0,0.0,3.59794e-07,,1000000000.0,3.26564,9,16372,,,,28.992,,29.246,26.581,26.668,26.537,26.399,,,26.505,,22.646,,27.194,27.338,27.486,27.741,27.73,27.685,27.597,27.67,27.964,28.013,28.178,28.514,28.968,29.065,28.214,8.83189,5.57516,-3.85701,,,,AS1063clu,342.1912402,-44.5256095,,,,,,,,,,False
