main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[KCC2017] NE-87b,342.18894,-44.52864,G,0.7287,D,2017A&A...599A..28K
[KCC2017] NE-91,342.19238,-44.52505,G,2.976,D,2017A&A...599A..28K
[KCC2017] NE-98a,342.19015,-44.53094,G,5.051,D,2017A&A...599A..28K
[GVR2012] 1178,342.16625833333336,-44.490272222222224,G,0.2409,D,2012AJ....144...79G
[GVR2012] 1703,342.1430416666666,-44.54541388888889,G,0.4518,D,2012AJ....144...79G
[GVR2012] 1381,342.17241666666666,-44.4999,G,0.4535,D,2012AJ....144...79G
[KCC2017] NE-51,342.18663,-44.53109,G,0.3475,D,2017A&A...599A..28K
NAME CMC2020 GLASS 01891-99-99,342.16575,-44.550324999999994,LeG,1.159,C,2020MNRAS.492..821C
NAME CMC2020 MUSE SW 51-99-99,342.17401666666666,-44.541241666666664,LeG,3.2275,C,2020MNRAS.492..821C
NAME CMC2020 MUSE SW 45-99-99,342.17552083333334,-44.54557777777777,LeG,1.2694,C,2020MNRAS.492..821C
NAME CMC2020 R2248 MR p1 M1 Q4 59 1,342.1991817,-44.5133024,LeG,1.4267,C,2018A&A...613A..72G
NAME CMC2020 GLASS 01404-99-99,342.2071,-44.5394,LeG,1.4475,C,2020MNRAS.492..821C
[BHF2019] RXCJ2248    247,342.1770516,-44.5483266,LeG,5.541,E,2018ApJ...862..156L
[BHF2019] RXCJ2248    438,342.1730749999999,-44.545251,LeG,6.29,E,2022MNRAS.514.1148Y
CLASH RXJ2248-4431  401,342.17129166666666,-44.51983611111111,LeG,6.11,C,2018ApJ...855....4K
[BHF2019] RXCJ2248   3001,342.173965,-44.514089,LeG,5.98,E,2022MNRAS.514.1148Y
[MSG2014] 4b,342.18785,-44.527305,LeG,1.397,C,2018ApJ...855....4K
CLASH RXJ2248-4431 1722,342.1777187,-44.5469379,LeG,5.64,E,2018ApJ...862..156L
[IKO2018] HFF5C-3930-1274,342.163789,-44.524303,G,5.734,E,2018ApJ...862..156L
