IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
140,0.0,0.0,0.1691,0.4415,0.0878,0.9278,15.5779,24.0,0,0.0,,99.0,0.66,15.172,27.0,0.05,0.000507514,,1000000000.0,0.199644,10,16380,,,,29.292,28.917,28.191,27.741,27.852,27.674,27.596,28.116,26.748,,,,,29.596,29.639,29.47,28.586,28.066,27.848,27.737,27.68,27.649,27.577,28.068,28.365,28.746,28.659,27.712,9.1588,6.89665,-3.72896,,,,AS1063clu,342.1887527,-44.5127913,8.32480940324337,62.31167999998206,62.86531568377346,pagul21_photoz_f160w_radius,4.703445772792448,False
2535,0.0,0.0,0.5771,0.2886,0.0697,0.8844,12.4278,1.0,0,0.0,508800000.0,99.0,0.32,12.4306,1.0,0.0,0.00199862,,1000000000.0,2987940.0,10,16380,,,,28.504,27.976,27.568,27.537,27.864,27.568,27.6,27.92,,,,24.128,,28.467,28.549,28.453,27.752,27.677,27.681,27.646,27.669,27.708,27.691,28.397,28.725,29.19,29.755,31.92,8.92204,6.17488,-3.52345,,,,AS1063clu,342.1786694,-44.5411186,-17.552726405284695,-39.666599999995356,43.37669143466811,pagul21_photoz_f160w_radius,4.1634904644889374,False
2724,0.0,0.0,0.1154,0.3481,0.0636,1.2215,15.0232,27.0,0,0.0,,99.0,1.2,14.4164,33.0,0.1,0.000740481,,1000000000.0,0.177971,10,16380,,,,28.466,28.424,28.258,27.968,27.577,27.406,27.628,30.501,,,,23.157,,28.903,28.989,28.882,28.112,27.886,27.824,27.777,27.783,27.812,27.809,28.463,28.664,29.171,28.902,27.737,8.93713,6.26681,-3.53644,,,,AS1063clu,342.1643704,-44.5462757,-54.24933213210823,-58.23216000001423,79.58627076981965,pagul21_photoz_f160w_radius,5.366486942327321,False
73,0.0,0.0,0.1465,0.3484,0.0768,1.2267,18.0839,27.0,3,0.1,,99.0,0.45,17.8722,27.0,0.05,0.000131554,,1000000000.0,0.199756,10,16380,,,,29.945,28.654,28.299,27.829,27.653,27.923,27.682,30.412,,25.056,,,,29.742,29.69,29.417,28.489,28.13,27.966,27.864,27.84,27.842,27.77,28.351,28.538,29.046,28.776,27.611,9.12992,6.44034,-4.12975,,,,AS1063clu,342.1843116,-44.5117753,-3.072721591495019,65.9692800000073,66.0408019462075,pagul21_photoz_f160w_radius,4.907841814873582,False
1992,0.0,0.0,0.1086,0.3165,0.0593,1.1079,14.1262,27.0,0,0.0,,99.0,1.18,13.3946,33.0,0.05,0.00123423,,1000000000.0,0.138535,9,16376,,,,,28.907,28.254,27.735,27.515,27.347,27.704,,,,23.638,,,28.977,29.059,28.938,28.147,27.945,27.886,27.844,27.858,27.891,27.873,28.572,28.76,29.268,28.935,27.812,9.04938,6.28849,-4.0589,,,,AS1063clu,342.1623797,-44.5311008,-59.35821618142725,-3.6025199999954793,59.46743628736167,pagul21_photoz_f160w_radius,4.719207126245388,False
2627,0.0,0.0,0.2397,0.4218,0.1021,1.1562,7.70054,1.0,0,0.0,1139000000.0,99.0,0.42,7.70054,1.0,0.0,0.021274,,1000000000.0,8766250.0,10,16380,,,,30.307,28.76,28.154,28.103,27.622,27.728,27.723,29.021,28.125,,,,,30.167,30.147,29.728,28.59,28.098,27.946,27.875,27.848,27.841,27.811,28.264,28.635,28.947,29.55,31.59,9.15404,6.69706,-3.91726,,,,AS1063clu,342.168184,-44.5430129,-44.46220187125755,-46.4860800000082,64.3260680362761,pagul21_photoz_f160w_radius,4.826526017875869,False
2791,0.0,0.0,0.1151,0.2558,0.0617,0.8307,53.9717,3.0,0,0.0,,99.0,0.52,54.5392,29.0,0.0,1.4354e-12,,1000000000.0,0.0240929,10,16380,,,,30.156,29.918,28.88,27.94,27.531,27.879,27.729,29.0,,,24.526,25.189,,33.06,32.194,30.625,29.134,28.539,28.263,28.098,28.047,28.019,27.916,28.728,28.964,29.397,29.798,30.502,9.14956,5.92794,-4.84603,,,,AS1063clu,342.1644139,-44.5470194,-54.13769479038789,-60.90948000001788,81.49143974117631,pagul21_photoz_f160w_radius,5.516173074705876,False
645,0.0,0.0,0.0865,0.2497,0.0493,0.8696,29.2992,27.0,0,0.0,,99.0,1.2,28.8885,33.0,0.0,5.33257e-07,,1000000000.0,0.0785175,9,16376,,,,,28.683,28.122,27.842,27.726,27.752,27.743,,,,,,,29.055,29.111,28.874,28.138,27.983,27.93,27.906,27.931,27.958,27.951,28.708,28.916,29.373,28.855,28.017,9.02508,5.88062,-4.33583,,,,AS1063clu,342.1845685,-44.5167171,-2.4134196814579374,48.17879999999093,48.239209819378,pagul21_photoz_f160w_radius,4.419763410645932,False
1268,0.29244,0.0,0.4862,0.6106,0.2135,2.09,6.57184,27.0,1,0.15,,99.0,1.47,6.5317,1.0,0.0,0.0381645,,1000000000.0,0.795422,9,16376,,,,,29.281,28.428,27.978,27.661,27.858,27.745,27.295,,26.975,,,,29.952,29.832,29.716,28.979,28.244,27.967,27.853,27.765,27.692,27.635,27.826,28.185,28.401,28.836,27.593,9.11348,7.19212,-3.24272,,,,AS1063clu,342.1844425,-44.5233367,-2.736783016126344,24.34823999998912,24.501566733056638,pagul21_photoz_f160w_radius,3.432483641101888,False
391,0.0,0.0,0.4597,0.2976,0.062,1.8246,11.7671,31.0,0,0.0,,99.0,0.3,11.7671,31.0,0.0,0.00278488,,1000000000.0,0.215796,10,16380,,,,28.327,27.589,27.63,27.92,27.998,27.841,27.745,,27.53,,22.674,23.038,,27.822,27.965,28.084,27.619,27.612,27.788,27.781,27.812,27.854,27.899,28.678,28.735,29.236,28.86,27.791,8.804,5.72316,-3.52052,,,,AS1063clu,342.2007864,-44.5137582,39.20780432146903,58.83084000000167,70.69879528546721,pagul21_photoz_f160w_radius,5.192735259515573,False
