IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
933,0.0,0.0,0.1092,0.2021,0.0433,0.6409,58.12,26.0,0,0.0,,99.0,0.36,58.7437,31.0,0.1,1.75379e-13,,1000000000.0,0.0267081,10,4092,,,,28.939,28.993,29.17,28.694,28.291,28.237,28.173,28.164,,,,,,29.812,29.813,29.427,28.719,28.522,28.405,28.357,28.358,28.349,28.293,29.043,29.404,29.779,28.76,29.039,9.01869,5.47671,-4.70855,,,,AS1063clu,342.3210903,-44.5284732
934,0.0,0.0,0.02,0.0209,,0.0562,46.1485,2.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,55705.8,10,4092,,,,26.27,26.32,26.4,26.282,26.051,25.866,25.781,26.295,,26.261,,,,27.037,26.978,26.303,26.188,26.176,26.078,26.085,26.075,26.052,26.222,27.017,27.436,27.887,28.429,30.671,8.79353,4.53376,-4.61997,,,,AS1063clu,342.3465512,-44.5363323
935,0.0,0.0,0.0707,0.1175,0.0237,0.3162,99.048,1.0,0,0.0,508800000.0,99.0,0.33,96.6617,33.0,0.0,1.02369e-21,,1000000000.0,794225.0,8,3932,,,,27.422,27.159,27.38,,27.227,,26.604,26.505,,,,,,27.994,27.97,27.459,27.16,27.124,27.112,27.142,27.174,27.189,27.269,28.056,28.436,28.947,29.465,31.696,8.75736,4.7073,-4.3727,,,,AS1063clu,342.3169956,-44.5218065
936,0.0,0.0,0.031,0.0544,0.0123,0.2493,56.454,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00819892,10,4092,,,,27.154,26.837,27.07,27.18,26.656,26.454,26.205,27.101,,25.813,,,,28.06,27.914,27.146,26.773,26.685,26.567,26.565,26.552,26.525,26.642,27.462,27.85,27.862,26.515,30.061,8.85823,5.05216,-4.3274,,,,AS1063clu,342.307577,-44.5363234
937,3.2451,0.8213,3.6585,2.2796,0.476,3.2032,0.502602,33.0,1,0.2,,99.0,2.9,0.0920363,33.0,0.1,0.955025,,1000000000.0,20.4076,4,3644,,,,29.189,28.574,28.861,29.184,,,,,,,,,,34.17,29.755,28.961,28.762,28.686,28.675,28.395,28.221,28.124,27.862,27.845,27.807,27.831,28.255,27.655,8.90731,8.24176,-1.09242,,,,AS1063clu,342.3447118,-44.5284837
938,1.7759,1.5757,1.9243,1.7162,1.1677,2.1192,9.57245,33.0,3,0.3,,99.0,2.57,11.4259,33.0,0.3,0.00330287,,1000000000.0,190.362,10,4092,,,,26.732,26.772,26.2,25.884,25.677,25.651,25.634,25.461,23.944,24.704,,,,28.317,27.288,26.836,26.793,26.409,25.963,25.65,25.585,25.561,25.284,24.97,24.902,25.124,25.343,24.695,8.84278,8.61859,-0.62428,,,,AS1063clu,342.3159982,-44.5363836
939,0.0,0.0,0.0419,0.0727,0.0164,0.3041,26.565,25.0,0,0.1,,99.0,0.48,30.6678,27.0,0.0,2.19066e-07,,1000000000.0,0.0165795,10,4092,,,,27.392,27.174,26.994,26.811,26.327,26.237,26.217,26.77,,26.803,,,,28.82,28.467,27.59,26.997,26.733,26.525,26.456,26.413,26.367,26.43,27.215,27.586,27.702,26.305,28.683,9.26851,5.44872,-5.78375,,,,AS1063clu,342.3430925,-44.5363842
940,2.7252,2.3705,2.8576,2.5533,2.0902,2.757,9.05968,33.0,1,0.05,,99.0,1.86,11.7978,33.0,0.1,0.00274241,,1000000000.0,69.2292,10,4092,,,,26.298,26.192,26.29,26.571,26.52,26.455,26.394,26.092,25.635,24.589,,,,,27.331,26.247,26.195,26.331,26.505,26.514,26.406,26.325,26.432,26.459,26.507,26.546,26.959,26.816,8.73684,5.06278,-3.96434,,,,AS1063clu,342.3497085,-44.536465
941,0.0,0.0,0.2702,0.3787,0.0863,1.3408,31.0727,26.0,0,0.0,,99.0,1.18,30.9243,33.0,0.05,1.92693e-07,,1000000000.0,0.0687847,9,4088,,,,,29.351,29.558,29.365,29.288,28.937,28.603,29.823,,,,,,30.198,30.276,30.146,29.346,29.021,28.893,28.808,28.779,28.777,28.714,29.268,29.623,30.009,29.739,28.886,9.0544,6.09931,-4.28088,,,,AS1063clu,342.3175604,-44.5285705
942,0.51076,0.1093,0.5787,0.4126,0.1545,0.5569,2.66054,26.0,0,0.1,,99.0,0.16,1.08884,29.0,0.3,0.580177,,1000000000.0,4.60952,10,4092,,,,26.126,25.396,24.871,24.744,24.618,24.554,24.535,24.386,24.642,25.24,,,,26.744,26.597,26.294,25.37,24.901,24.712,24.597,24.533,24.495,24.381,24.874,25.198,25.575,25.396,24.497,8.93799,8.19642,-1.30203,,,,AS1063clu,342.3012883,-44.5365544
