IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
929,1.6662,1.5768,1.8127,1.6675,1.5908,1.7612,1.41191,31.0,2,0.25,,99.0,1.12,8.40173,32.0,0.3,0.0149826,,1000000000.0,1938.58,10,4092,,,,24.101,23.915,23.579,22.987,22.63,22.555,22.539,22.289,22.122,22.029,,,,25.329,24.408,24.041,23.913,23.627,22.988,22.631,22.57,22.574,22.294,22.042,21.969,22.196,22.516,22.199,8.91072,10.0294,0.59221,,,,A2744clu,3.4601556,-30.3790674
930,0.95774,0.0896,3.1507,3.3759,1.0219,5.9909,4.15041,26.0,0,0.3,,99.0,1.7,3.28461,33.0,0.5,0.193533,,1000000000.0,1263.87,5,3708,,,,26.602,29.632,26.173,26.24,26.084,,,,,,,,,,,31.361,28.415,27.028,26.264,25.798,25.536,25.242,23.909,23.315,23.043,22.84,22.722,23.87,9.00583,8.96146,-0.94078,,,,A2744clu,3.4792766,-30.3708858
931,1.1262,1.1235,1.1309,1.0428,0.9886,1.1184,8.39763,31.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,3413.11,10,4092,,,,23.502,23.036,22.254,21.668,21.383,21.251,21.179,20.664,20.455,20.68,,,,24.35,23.917,23.539,23.13,22.261,21.678,21.358,21.23,21.171,20.769,20.497,20.699,20.993,21.209,20.375,9.05,10.33566,0.44028,,,,A2744clu,3.4603744,-30.3797712
932,0.27923,0.0,4.6551,1.4614,0.3291,3.7381,1.01905,29.0,0,0.0,,99.0,0.84,0.854325,30.0,0.05,0.652358,,1000000000.0,3.21284,9,4088,,,,,28.745,28.183,28.16,27.9,28.004,28.039,27.996,,26.765,,,,28.718,28.518,28.618,28.731,28.72,28.113,28.038,28.046,27.993,27.993,28.075,28.138,28.527,28.87,28.901,8.89154,7.49586,-1.97362,,,,A2744clu,3.4661323,-30.3711687
933,0.0,0.0,0.0574,0.242,0.0413,0.7715,12.5094,33.0,2,0.25,,99.0,0.62,11.1161,28.0,0.0,0.00385634,,1000000000.0,0.270104,10,4092,,,,28.752,28.471,28.056,27.81,27.658,27.621,27.656,,,,,,,29.108,28.91,28.715,28.245,27.97,27.909,27.802,27.769,27.741,27.699,28.355,28.277,28.832,28.052,27.315,8.95994,6.32151,-3.24664,,,,A2744clu,3.4651862,-30.378848
934,3.5645,0.0,5.7771,3.0987,0.8642,5.7875,0.546461,33.0,1,0.3,,99.0,4.09,0.367078,26.0,0.05,0.832319,,1000000000.0,12.8834,9,4088,,,,,31.227,30.655,29.833,30.044,30.104,30.065,28.489,,28.685,,,,,45.136,32.293,31.038,30.688,30.518,30.425,30.258,30.036,29.55,29.226,29.074,28.975,29.049,29.555,8.9824,7.38824,-2.33989,,,,A2744clu,3.4884996,-30.3710656
935,3.1926,3.0921,3.258,3.1234,3.0042,3.2238,4.81961,29.0,0,0.0,,99.0,2.85,8.69937,33.0,0.15,0.0129108,,1000000000.0,257.117,10,4092,,,,25.884,25.315,25.252,25.381,25.373,25.301,25.211,24.841,24.263,24.204,,,,,,25.861,25.312,25.339,25.457,25.465,25.374,25.139,24.732,24.69,24.712,24.771,24.889,25.831,8.70263,9.45093,0.50562,,,,A2744clu,3.4826398,-30.3789341
936,0.2083,0.0,0.6427,1.1631,0.244,3.293,26.0235,33.0,3,0.2,,99.0,3.16,25.3896,33.0,0.2,3.06698e-06,,1000000000.0,1.06256,10,4092,,,,31.819,29.868,30.505,29.982,30.723,29.707,29.464,28.026,,,,,,30.867,30.676,30.733,30.588,30.235,29.895,29.984,29.622,29.466,29.715,29.647,29.885,30.287,30.37,29.644,8.95835,6.77415,-3.03762,,,,A2744clu,3.4883571,-30.3710745
937,3.1603,3.1005,3.2706,3.1828,3.0901,3.2798,2.27459,33.0,1,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1203.48,10,4092,,,,26.802,25.714,25.337,25.369,25.196,25.005,24.797,24.255,24.377,24.272,,,,,,26.874,25.66,25.368,25.258,25.205,25.036,24.837,24.311,24.245,24.116,24.047,24.12,24.758,8.88151,9.82101,0.46414,,,,A2744clu,3.4571296,-30.378926
938,0.0,0.0,0.131,0.1854,0.0438,0.5805,11.2953,26.0,0,0.0,,99.0,0.54,11.9074,29.0,0.0,0.00259615,,1000000000.0,0.0694879,10,4092,,,,27.848,27.823,27.494,27.167,27.092,27.186,27.103,26.658,,,,,,28.663,28.653,28.195,27.541,27.318,27.248,27.203,27.205,27.196,27.145,27.899,28.268,28.632,27.553,27.966,8.93978,5.81384,-3.89173,,,,A2744clu,3.4859789,-30.3711448
939,2.7034,0.0656,2.9515,1.8395,0.1217,2.7076,6.80185,33.0,0,0.0,,99.0,0.08,5.42421,33.0,0.0,0.0663969,,1000000000.0,6.02717,10,4092,,,,27.832,27.778,27.831,28.308,28.513,28.15,28.16,,27.04,27.196,,,,28.372,27.647,27.679,27.875,28.14,28.171,28.073,28.115,28.195,28.362,28.467,28.517,28.797,29.281,28.397,8.73066,4.36519,-4.66379,,,,A2744clu,3.4912235,-30.3789069
