main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAC2016] A2744cl   2149,3.57973,-30.383781,G,0.45,D,2017ApJ...835..254M
[MAC2016] A2744cl   2042,3.578763,-30.386065,G,0.35,D,2017ApJ...835..254M
[MAC2016] A2744cl   2141,3.578281,-30.384056,G,1.6135,E,2016A&A...590A..30M
[ADR2016] Abell 2744 3482,3.5881471,-30.3850041,GiC,0.2979461211128933,C,2011ApJ...728...27O
[BAG2023] 41467,3.586838,-30.384626,G,0.33,D,2017ApJ...835..254M
[MAC2016] A2744cl  22964,3.592594,-30.382673,G,0.928,E,2016A&A...590A..30M
[MAC2016] A2744cl   2218,3.594055,-30.382965,G,0.588,E,2016A&A...590A..30M
[MAC2016] A2744cl   2216,3.591792,-30.383081,G,0.2945,E,2016A&A...590A..30M
[MAT2017] Abell2744CLS 2196,3.6022454,-30.3843358,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2154,3.602011,-30.384111,G,0.54,D,2017ApJ...835..254M
[MAC2016] A2744cl   2130,3.602393,-30.383945,G,2.6595,E,2016A&A...590A..30M
[MAC2016] A2744cl   1988,3.601592,-30.386553,G,3.004,E,2016A&A...590A..30M
[MAC2016] A2744cl   2034,3.600471,-30.385822,G,0.9,E,2016A&A...590A..30M
[MAC2016] A2744cl   2067,3.60337,-30.385262,G,4.96,E,2016A&A...590A..30M
[MRC2018] A2744 M15,3.601462999999999,-30.3841605,EmG,3.4337,D,2019A&A...628A...3D
[MAC2016] A2744cl  22747,3.602859,-30.385794,G,2.161,E,2016A&A...590A..30M
[MAC2016] A2744cl  22781,3.602668,-30.385256,G,4.177,E,2016A&A...590A..30M
[HWJ2024] 04898,3.6022597999999992,-30.3843036,EmG,2.663,D,2024ApJ...960L..13H
[BIO2017] A2744I-4209022448,3.587097,-30.379116,LeG,5.6582,E,2016A&A...590A..30M
[MAC2016] A2744cl   2501,3.583705,-30.378681,G,4.205,E,2016A&A...590A..30M
[MAC2016] A2744cl   2534,3.583956,-30.377113,G,1.5258,E,2016A&A...590A..30M
[MAC2016] A2744cl  23393,3.585648,-30.378132,G,0.35,E,2016A&A...590A..30M
[MAC2016] A2744cl  23418,3.584655,-30.377018,G,7.8003,E,2016A&A...590A..30M
[MAC2016] A2744cl  23424,3.582756,-30.376766,G,6.29,E,2016A&A...590A..30M
[MAC2016] A2744cl   2522,3.583456,-30.378199,G,0.674,E,2016A&A...590A..30M
[MAC2016] A2744cl   2529,3.586762,-30.377865,G,0.3155,E,2016A&A...590A..30M
[MAC2016] A2744cl   2535,3.583706,-30.377024,G,2.0665,E,2016A&A...590A..30M
[MAC2016] A2744cl   2540,3.584413,-30.377243,G,3.5391,E,2016A&A...590A..30M
[MAC2016] A2744cl  23352,3.58662,-30.378988,G,2.265,E,2016A&A...590A..30M
[MAC2016] A2744cl  23047,3.596334,-30.381941,G,4.1766,E,2016A&A...590A..30M
[MAC2016] A2744cl   2223,3.596451,-30.382839,G,1.3615,E,2016A&A...590A..30M
[MAC2016] A2744cl  22892,3.596059,-30.383661,G,5.053,E,2016A&A...590A..30M
[BGS2006]  49,3.5843902633700004,-30.35449503867,GiC,0.2941768468371543,C,2011ApJ...728...27O
[MAC2016] A2744cl   2402,3.589181,-30.378948,G,0.31,D,2017ApJ...835..254M
