main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAT2017] MACS1149CLS 1961,177.3961794,22.4047426,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1391,177.4064432,22.4097338,G,0.65,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1579,177.3994243,22.4071841,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1703,177.4029907,22.4072777,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2175,177.4059721,22.4028963,G,0.64,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2393,177.40129,22.4014389,G,0.67,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2560,177.4073763,22.399995,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1213,177.3973662,22.4111414,G,0.57,D,2017ApJ...835..254M
[GKS2016] c239,177.4066173,22.4044939,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2247,177.3974704,22.4015738,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1260,177.4151163,22.4110976,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1325,177.4072254,22.4105241,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1381,177.4127464,22.4066406,G,0.52,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1386,177.4140469,22.4091458,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1495,177.4033156,22.4089059,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2709,177.4130832,22.397922,G,0.53,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1552,177.4069354,22.4083322,G,0.7,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1820,177.4009395,22.4058558,G,0.59,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2561,177.415142,22.3998998,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2467,177.406687,22.4008963,G,0.66,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1143,177.4019272,22.411695,G,0.42,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1227,177.4076437,22.4116858,G,0.69,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1353,177.4078735,22.4100852,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1720,177.4066196,22.4065202,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1760,177.4063234,22.4062468,G,0.69,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1801,177.409478,22.406148,G,0.69,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1979,177.3976259,22.4032713,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2461,177.4078362,22.4002131,G,0.59,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1912,177.4007704,22.4040775,G,0.63,D,2017ApJ...835..254M
