IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
2178,1.566,1.537,1.5733,1.7736,1.5086,1.9091,17.526,31.0,1,0.1,,99.0,1.88,15.451,33.0,0.15,0.000441434,,1000000000.0,86.8781,12,4095,,26.809,26.277,26.036,26.04,25.986,25.673,25.518,25.539,25.428,26.707,24.624,25.387,,,,27.025,26.257,26.044,26.044,26.074,25.751,25.474,25.469,25.489,25.406,25.348,25.327,25.56,25.98,25.448,8.70074,8.68571,-0.25845,,,,M1149clu,177.4030392,22.4026644,,,,,,,,,,False
2179,0.78307,0.6197,0.9829,0.7124,0.4942,0.8865,3.34321,2.0,0,0.0,1139000000.0,99.0,0.15,5.09317,32.0,0.5,0.0783487,,1000000000.0,277361000.0,12,4095,,27.865,28.566,27.345,27.124,25.814,25.489,25.333,25.402,25.402,25.271,24.974,26.056,,,,27.962,27.806,27.763,26.917,25.863,25.566,25.457,25.419,25.35,25.248,25.261,25.636,25.994,26.497,28.389,9.10463,8.26254,-1.87073,,,,M1149clu,177.3962412,22.3906877,,,,,,,,,,False
2180,1.5627,1.4203,1.5827,1.614,1.4458,1.7997,7.2348,33.0,2,0.15,,99.0,1.88,9.72663,31.0,0.05,0.00772484,,1000000000.0,68.533,12,4095,,27.096,26.34,26.399,26.35,26.346,26.08,25.991,26.02,25.875,26.085,25.393,24.323,,,,26.92,26.408,26.302,26.344,26.34,26.042,25.907,25.907,25.937,25.853,25.757,25.785,26.109,26.32,25.962,8.70009,8.4808,-0.45941,,,,M1149clu,177.4032448,22.4020299,,,,,,,,,,False
2181,5.5465,5.0753,5.9527,5.4451,4.2999,6.1692,5.01276,26.0,0,0.0,,99.0,5.15,5.50047,2.0,0.0,0.0639128,,1000000000.0,537.431,9,4088,,,,,27.693,26.56,25.969,25.784,25.841,25.762,26.286,24.318,24.632,,,,,,,28.855,26.288,25.791,25.797,25.826,25.866,25.704,24.66,24.524,24.422,24.373,25.382,8.85353,9.94925,0.69597,,,,M1149clu,177.4216829,22.3907495,[MAT2017] MACS1149CLS 3494,177.4214972,22.3908222,G,0.58,D,2017ApJ...835..254M,0.671243478684811,SIMBAD,False
2182,0.0,0.0,0.1035,0.1002,0.0281,0.2967,20.0661,21.0,0,0.1,,99.0,0.43,23.637,3.0,0.0,7.36694e-06,,1000000000.0,0.0195224,11,4091,,30.327,,,27.714,27.091,26.779,26.186,26.513,26.185,26.698,26.185,,,,,29.723,29.223,28.334,27.472,27.008,26.56,26.364,26.295,26.226,26.198,26.528,27.166,27.205,25.928,26.782,9.46396,6.84457,-5.68904,,,,M1149clu,177.4221802,22.3907395,,,,,,,,,,False
2183,1.1001,1.0751,1.1285,1.1228,1.0854,1.1604,15.2827,18.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1724.14,9,3964,,,,26.541,25.096,23.102,38.255,21.253,,21.455,19.788,18.867,18.849,,,,30.52,28.518,26.938,24.978,23.189,21.701,21.173,20.933,20.718,19.81,19.015,19.175,19.623,19.752,19.117,9.58963,11.1596,-2.72307,,,,M1149clu,177.3691885,22.3906032,,,,,,,,,,False
2184,0.0,0.0,0.2497,0.2287,0.0391,1.0956,159.159,33.0,0,0.0,,99.0,0.55,159.884,33.0,0.0,1.91268e-35,,1000000000.0,0.100066,10,4077,,28.607,,29.184,,,25.762,26.914,25.485,26.231,,,,,,,27.839,28.028,28.08,27.994,27.951,28.296,28.317,28.353,28.387,28.511,29.333,29.292,29.816,28.985,28.348,8.74103,4.2703,-4.75103,,,,M1149clu,177.3793047,22.4032659,,,,,,,,,,False
2186,0.67582,0.5914,0.7899,0.6439,0.51,0.7597,3.39128,2.0,0,0.0,1800000000.0,99.0,0.32,7.78148,27.0,0.5,0.0204303,,1000000000.0,561322000.0,10,4092,,,,30.566,26.661,25.635,25.051,24.936,24.818,24.78,24.646,24.408,25.162,,,,29.314,28.947,28.478,26.797,25.568,25.131,24.957,24.841,24.736,24.585,24.67,25.076,25.372,25.896,27.846,9.34026,8.55323,-2.77833,,,,M1149clu,177.4031723,22.3906137,[MAT2017] MACS1149CLS 3525,177.4031734,22.3906159,G,0.58,D,2017ApJ...835..254M,0.008725400388969762,SIMBAD,False
2187,0.0,0.0,0.0906,0.1988,0.04,0.8215,36.0098,33.0,3,0.1,,99.0,1.2,35.893,33.0,0.0,1.60672e-08,,1000000000.0,0.114945,11,4094,,,28.458,28.117,28.32,28.682,28.335,27.938,27.778,27.786,,,,,,,28.333,28.315,28.269,28.057,27.985,28.061,28.04,28.05,28.058,28.147,28.808,29.008,29.352,28.356,28.013,8.86355,5.43785,-4.11843,,,,M1149clu,177.3810294,22.4033657,,,,,,,,,,False
2188,0.0,0.0,0.0157,0.0195,,0.0521,29.9878,4.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.000677462,11,4093,,28.656,,28.28,26.989,26.217,26.177,26.006,25.915,25.921,,,,,,,30.434,29.03,27.646,26.823,26.403,26.12,26.055,26.017,25.966,26.173,26.957,27.391,27.757,28.122,34.65,9.49521,4.88896,-7.94888,,,,M1149clu,177.3884386,22.3906571,[MAT2017] MACS1149CLS 3531,177.388443,22.3906548,G,0.56,D,2017ApJ...835..254M,0.016824317619440782,SIMBAD,False
