chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
56    34c 3.923   1      0.42    0.00    0.00    0.00   0.061    0.00    0.05    0.04  1
56    34b 3.923   1      0.42    0.00    0.00    0.00   0.061    0.00   -0.05   -0.04  1
56     34 3.923   2      0.83    0.00    0.00    0.00   0.061    0.00    N/A     N/A   2
57    17c 3.966   1     10.99    0.00    0.00    0.00   0.369    0.00   -0.36    0.08  1
57    17b 3.966   1      3.78    0.00    0.00    0.00   0.216    0.00    0.20   -0.08  1
57    17a 3.966   1      2.08    0.00    0.00    0.00   0.161    0.00    0.16    0.00  1
57     17 3.966   3     16.85    0.00    0.00    0.00   0.264    0.00    N/A     N/A   3
58   104b 4.070   1     17.31    0.00    0.00    0.00   0.466    0.00   -0.13   -0.45  1
58   104a 4.070   1     17.31    0.00    0.00    0.00   0.466    0.00    0.13    0.45  1
58    104 4.070   2     34.61    0.00    0.00    0.00   0.466    0.00    N/A     N/A   2
59   105c 4.071   1      0.64    0.00    0.00    0.00   0.080    0.00   -0.02    0.08  1
59   105b 4.071   1      4.09    0.00    0.00    0.00   0.202    0.00   -0.07   -0.19  1
59   105a 4.071   1      2.10    0.00    0.00    0.00   0.145    0.00    0.09    0.11  1
59    105 4.071   3      6.83    0.00    0.00    0.00   0.151    0.00    N/A     N/A   3
60  19.3c 4.103   1     16.38    0.00    0.00    0.00   0.458    0.00   -0.14    0.43  1
60  19.3b 4.103   1      7.65    0.00    0.00    0.00   0.313    0.00   -0.10   -0.30  1
60  19.3a 4.103   1      5.92    0.00    0.00    0.00   0.275    0.00    0.24   -0.14  1
60   19.3 4.103   3     29.95    0.00    0.00    0.00   0.357    0.00    N/A     N/A   3
61  19.2c 4.103   1     12.78    0.00    0.00    0.00   0.372    0.00   -0.24    0.29  1
61  19.2a 4.103   1     12.78    0.00    0.00    0.00   0.372    0.00    0.24   -0.29  1
61   19.2 4.103   2     25.57    0.00    0.00    0.00   0.372    0.00    N/A     N/A   2
62  19.1c 4.103   1     16.47    0.00    0.00    0.00   0.458    0.00   -0.15    0.43  1
62  19.1b 4.103   1      7.83    0.00    0.00    0.00   0.316    0.00   -0.13   -0.29  1
62  19.1a 4.103   1      7.82    0.00    0.00    0.00   0.316    0.00    0.28   -0.14  1
62   19.1 4.103   3     32.13    0.00    0.00    0.00   0.369    0.00    N/A     N/A   3
63   103c 4.115   1      0.73    0.00    0.00    0.00   0.088    0.00    0.06   -0.06  1
